theta2 RA DEC
0.194 355.596 57.527
0.22 355.561 58.1508
0.245 355.183 58.2904
0.152 354.896 57.9624
0.356 355.846 57.8246
0.259 354.975 58.228
0.096 355.114 58.0783
0.077 355.266 58.077
0.068 355.031 57.9418
0.234 354.773 57.7186
0.044 355.197 58.003
0.223 355.169 57.3349
0.071 355.124 57.565
0.279 355.331 58.322
0.331 355.425 57.2519
0.187 354.947 58.1084
0.034 355.23 57.6166
0.173 354.917 57.5504
0.04 355.389 57.6559
0.068 354.99 57.8163
0.008 355.339 57.8101
0.138 355.603 57.6835
0.072 355.233 58.0678
0.267 355.737 57.9732
0.124 355.172 57.4567
0.31 354.784 58.1043
0.234 355.065 58.247
0.176 355.488 58.1452
0.204 354.84 57.6098
0.291 354.856 57.4316
0.015 355.145 57.8624
0.186 354.962 58.1214
0.311 355.72 57.5006
0.08 355.344 58.0667
0.011 355.355 57.807
0.283 355.015 57.3227
0.028 355.411 57.8452
0.103 355.364 57.5002
0.089 355.074 58.0409
0.222 354.866 57.5269
0.372 355.693 57.3805
0.288 355.781 57.8742
0.128 354.896 57.8509
0.255 355.755 57.7829
0.197 355.678 57.6839
0.368 355.002 58.3535
0.107 355.087 57.5162
0.072 355.148 57.5518
0.37 355.389 58.3923
0.206 354.83 57.6276
0.283 355.226 58.3314
0.305 354.698 57.777
0.27 355.612 57.4272
0.06 355.01 57.7499
0.075 355.271 58.073
0.106 355.05 57.5432
0.364 355.177 57.2012
0.204 354.894 58.0782
0.226 355.064 58.2376
0.101 354.973 57.9558
0.208 354.948 57.4582
0.297 355.791 57.7322
0.245 355.594 58.1559
0.277 354.727 57.8563
0.09 355.473 57.5988
0.261 354.825 57.5163
0.046 355.045 57.7361
0.04 355.166 57.9816
0.387 354.858 57.3166
0.371 354.745 57.459
0.235 355.678 58.0274
0.206 355.533 58.1549
0.293 354.979 58.2683
0 355.25 57.8
0.326 355.495 57.2842
0.203 354.956 57.4588
0.109 355.565 57.8978
0.148 355.621 57.6994
0.023 355.4 57.7811
0.149 355.26 57.4141
0.248 354.977 57.3837
0.341 355.598 57.3311
0.06 355.414 57.618
0.289 355.68 58.1228
0.015 355.361 57.8509
0.161 354.878 57.6485
0.105 355.306 58.1192
0.074 355.21 57.5309
0.21 355.644 57.5653
0.284 355.404 58.3103
0.192 355.021 57.4265
0.391 355.72 57.3876
0.042 355.441 57.8739
0.112 354.916 57.7784
0.259 355.475 57.3435
0.284 355.281 57.268
0.347 354.663 57.8432
0.256 355.538 57.3839
0.054 355.029 57.8717
0.227 355.683 57.9996
0.271 355.652 58.1309
0.101 355.331 57.4928
0.309 355.688 57.4577
0.07 354.991 57.7467
0.089 355.46 58.0115
0.386 355.567 58.3345
