theta2 RA DEC
0.018 357.355 58.7168
0.185 357.535 59.1217
0.155 357.197 59.1901
0.217 356.827 58.9941
0.082 357.536 58.8118
0.335 356.937 59.2868
0.344 356.992 59.3269
0.273 357.28 59.3216
0.06 357.044 58.9332
0.298 356.712 58.7082
0.098 357.171 59.1029
0.07 357.204 58.5394
0.195 357.042 58.4105
0.145 357.308 59.1763
0.217 357.392 58.3562
0.288 356.874 59.1827
0.168 357.207 58.3924
0.209 356.884 58.5256
0.274 357.613 58.4228
0.339 356.669 58.8364
0.313 357.806 58.8634
0.054 357.471 58.7271
0.262 357.217 59.3108
0.09 357.533 58.9005
0.137 357.168 58.4392
0.17 356.905 59.0253
0.155 357.1 59.1638
0.136 357.46 59.1034
0.176 356.87 58.6233
0.253 356.883 58.4565
0.256 356.815 59.0577
0.206 356.947 59.1382
0.171 357.599 58.578
0.388 357.458 59.3873
0.093 357.554 58.8202
0.071 357.132 58.5609
0.33 357.803 58.9553
0.392 357.473 58.2151
0.123 357.043 59.0832
0.066 357.041 58.6511
0.361 357.686 58.3867
0.041 357.451 58.828
0.261 356.744 58.8726
0.217 357.716 58.7842
0.264 357.746 58.6656
0.108 357.116 59.0999
0.394 356.938 58.2554
0.062 357.155 58.5697
0.292 357.373 59.3261
0.309 356.736 58.5889
0.33 357.224 59.3739
0.343 356.665 58.7757
0.323 357.646 58.3923
0.013 357.138 58.7767
0.033 357.264 58.9811
0.326 356.899 58.3497
0.11 357.21 58.4708
0.146 356.949 59.0354
0.342 357.022 59.3384
0.056 357.044 58.916
0.147 356.996 58.5126
0.218 357.713 58.7419
0.15 357.519 59.0784
0.027 357.087 58.8176
0.007 357.312 58.7439
0.324 356.777 58.4839
0.295 356.731 58.6383
0.377 356.993 59.3575
0.293 356.909 58.3794
0.273 356.817 58.5075
0.323 357.752 59.0666
0.3 357.591 59.2283
0.083 357.106 59.0493
0.028 357.372 58.6859
0.164 357.424 58.4341
0.039 357.121 58.6505
0.256 357.733 58.9498
0.187 357.667 58.6869
0.041 357.451 58.7747
0.003 357.251 58.7452
0.313 356.943 58.3323
0.312 357.583 58.3515
0.088 357.449 58.5796
0.133 357.542 59.019
0.218 357.675 58.9942
0.251 356.786 58.6108
0.171 357.321 59.2073
0.275 357.174 58.2812
0.381 357.78 58.4838
0.35 357.421 59.3665
0.157 357.043 58.4623
0.239 357.617 58.4776
0.268 357.733 58.9866
0.339 356.669 58.7625
0.209 357.452 58.3899
0.041 357.262 58.5979
0.29 356.713 58.8395
0.063 357.393 58.5936
0.084 356.974 58.8894
0.066 357.483 58.9076
0.14 357.539 59.0379
0.069 357.317 58.5461
0.153 357.558 58.5591
0.105 356.933 58.7347
0.012 357.327 58.8777
0.069 357.384 59.026
0.242 357.358 59.2799
0.209 357.568 59.1282
0.066 357.381 59.0212
0.261 356.742 58.8544
0.368 357.818 59.0142
0.023 357.115 58.8694
0.036 357.4 58.6833
0.021 357.315 58.9296
0.17 356.906 59.0276
0.059 357.333 58.5717
0.227 357.294 58.3256
0.107 357.563 58.7048
0.013 357.345 58.863
0.138 357.282 59.1701
0.304 357.61 58.3826
0.012 357.149 58.7569
0.365 357.15 58.2041
0.144 356.909 58.9671
0.017 357.279 58.673
0.097 357.25 59.1114
0.004 357.242 58.7372
0.235 357.728 58.7215
0.018 357.337 58.6978
0.033 357.365 58.6594
0.099 357.161 58.4981
0.067 357.039 58.6503
0.004 357.312 58.8129
0.04 357.449 58.8244
0.117 356.908 58.7979
0.001 357.224 58.8184
0.141 357.522 59.0593
0.311 357.103 58.2621
0.275 356.84 58.4731
0.178 356.908 58.5534
0.071 357.269 58.5342
0.044 357.459 58.7801
0.025 357.363 58.6894
0.06 357.128 58.5873
0.161 357.648 58.7496
0.131 357.521 59.0404
0.2 357.222 59.2463
0.06 357.087 58.6173
0.302 357.371 58.2638
0.099 357.434 58.5448
0.135 356.887 58.8595
0.195 356.94 59.1143
0.23 357.55 59.174
0.27 357.085 58.3071
0.269 357.713 58.566
0.126 357.176 58.4529
0.38 357.862 58.871
0.142 356.888 58.6941
0.045 357.076 58.679
0.387 357.3 59.4201
0.241 356.871 58.4878
0.393 356.649 58.622
0.326 357.192 58.232
0.274 357.646 59.142
0.201 357.692 58.8724
0.097 357.193 59.1062
0.021 357.395 58.7913
0.327 357.178 58.2327
0.347 356.675 58.9259
0.342 356.724 59.0564
0.351 356.963 59.3183
0.103 357.467 59.0361
0.047 357.037 58.7623
0.235 356.765 58.8086
0.111 357.185 59.1268
0.297 356.983 58.3248
0.117 357.591 58.8266
0.389 356.645 58.6466
0.267 356.875 58.445
0.372 357.334 59.4041
0.117 356.945 58.6457
0.314 357.725 59.0973
0.232 356.857 59.0789
0.205 357.034 58.4022
0.014 357.271 58.6835
0.069 357.085 59.0047
0.004 357.291 58.8485
0.012 357.357 58.775
0.287 356.849 59.1555
0.026 357.261 58.6391
0.017 357.136 58.7367
0.201 357.144 58.3643
0.269 357.282 58.2823
0.002 357.261 58.8433
0.39 357.676 58.3432
0.14 357.211 59.1721
0.213 357.486 59.1964
0.254 357.172 59.2979
0.165 356.991 59.1133
0.199 357.284 58.3552
0.154 357.165 58.4168
0.168 357.484 59.1365
0.333 357.434 59.3468
0.216 356.788 58.753
0.067 357.267 58.5417
0.197 356.936 58.4859
0.036 357.064 58.8355
0.296 357.781 58.6838
0.014 357.361 58.8402
0.29 357.442 58.2968
0.337 357.127 58.2328
0.373 357.363 58.1998
0.085 357.493 58.6384
0.132 356.94 58.9896
0.303 357.24 59.3504
0.251 356.962 58.3902
0.308 356.773 58.5161
0.197 356.873 58.5655
0.153 357.495 59.1051
0.362 357.849 58.858
0.199 357.564 58.4833
0.005 357.314 58.8304
0.09 357.437 58.5656
0.107 356.944 58.6848
0.061 357.024 58.8998
0.148 357.635 58.7958
0.144 357.588 58.6272
0.254 356.848 58.4959
0.01 357.27 58.702
0.147 357.371 59.1637
0.22 357.148 59.2578
0.094 357.473 59.0105
0.018 357.296 58.9259
0.39 357.844 58.6073
0.107 357.496 58.5843
0.389 357.533 58.2441
0.157 357.293 58.4061
0.068 357.215 58.5416
0.189 357.567 59.098
0.217 357.571 58.4621
0.167 357.512 59.1133
0.118 357.158 58.4689
0.15 356.863 58.7957
0.124 357.454 59.0869
0.075 357.053 58.6102
0.07 357.316 59.0563
0.338 357.705 59.1617
0.271 357.561 58.3826
0.399 357.147 59.4233
0.155 356.87 58.6966
0.029 357.369 58.6779
0.015 357.228 58.9205
0.207 357.042 58.3954
0.041 357.06 58.8706
0.313 357.268 59.3592
0.012 357.353 58.7639
0.304 357.664 59.1636
0.125 356.984 59.0328
0.087 357.545 58.7927
0.208 357.262 59.2559
0.173 356.865 58.6432
0.071 357.111 58.5729
0.198 356.83 58.6526
0.152 357.617 58.6689
0.169 357.503 59.1243
0.057 357.462 58.9095
0.333 357.775 59.0405
0.041 357.073 58.7011
0.137 357.508 58.5348
0.016 357.149 58.7244
0.033 357.145 58.948
0.02 357.363 58.8856
0.007 357.253 58.8836
0.252 357.617 59.1421
0.128 357.311 59.1525
0.234 356.781 58.9199
0.058 357.012 58.8342
0.178 357.621 59.0013
0.309 357.445 58.2793
0.156 356.856 58.7706
0.252 357.594 58.4345
0.099 356.948 58.7132
0.32 357.485 58.2856
0.385 357.194 58.1821
0.11 356.947 58.9355
0.016 357.278 58.6767
0.348 357.814 58.6264
0.107 357.143 58.4908
0.087 356.971 58.7042
0.217 356.785 58.7812
0.005 357.288 58.8595
0.243 357.411 58.334
0.208 357.665 58.6115
0.073 357.146 59.0493
0.275 357.562 58.3782
0.02 357.381 58.8542
0.331 357.771 59.0431
0.013 357.136 58.8072
0.068 357.2 58.544
0.317 356.733 59.0228
0.34 357.665 59.2092
0.304 357.616 58.3877
0.033 357.09 58.8867
0.013 357.197 58.699
0.38 356.663 58.6104
0.318 357.2 58.2383
0.004 357.212 58.7493
0.005 357.255 58.8705
0.262 356.757 58.936
0.261 357.144 58.3002
0.193 356.926 58.5031
0.187 357.223 59.2316
0.361 357.445 59.3682
0.137 357.329 58.4384
0.241 357.071 59.2571
0.107 357.22 59.1258
0.225 356.832 58.5766
0.246 357.58 58.4297
0.293 356.713 58.7331
0.063 357.01 58.8721
0.115 357.234 58.4613
0.241 357.622 59.1203
0.225 357.129 59.2587
0.28 357.115 58.2884
0.386 356.634 58.7189
0.088 357.249 59.0966
0.271 356.73 58.8095
0.341 357.543 59.3051
0.058 357.49 58.7751
0.208 356.794 58.7786
0.146 357.601 58.9503
0.213 357.09 59.2328
0.053 357.48 58.8173
0.348 357.162 59.3834
0.147 357.504 58.5132
0.059 357.086 58.6212
0.023 357.241 58.6486
0.046 357.174 58.5995
0.284 356.805 58.5066
0.331 357.744 59.0952
0.071 357.358 59.0436
0.155 356.863 58.8703
0.239 356.947 58.4165
0.009 357.241 58.8945
0.117 357.321 59.1347
0.248 356.916 59.1693
0.347 357.362 58.2217
0.25 357.54 59.2072
0.348 356.712 58.5589
0.1 357.055 59.0488
0.098 357.162 58.4996
0.155 356.857 58.7793
0.114 357.062 59.0802
0.335 356.676 58.8747
0.367 357.512 59.3461
0.06 357.034 58.6842
0.353 357.436 58.2358
0.32 357.383 58.2502
0.134 357.354 59.151
0.392 357.485 59.3803
0.332 357.755 59.0781
0.074 357.242 59.0719
0.254 357.736 58.9317
0.056 357.018 58.8485
0.133 357.5 59.0654
0.197 357.13 59.2272
0.168 357.406 58.4211
0.348 356.726 59.0716
0.133 357.564 58.6143
0.015 357.131 58.8299
0.031 357.386 58.9114
0.291 357.39 59.3211
0.34 357.756 59.0904
0.287 356.954 59.2466
0.131 357.017 58.5234
0.232 357.72 58.9076
0.027 357.402 58.8618
0.004 357.299 58.8397
0.168 357.659 58.7681
0.237 357.135 58.327
0.131 357.561 58.9858
0.326 356.775 58.4836
0.104 357.309 58.483
0.205 357.143 58.3601
0.391 357.716 59.217
0.301 357.772 58.6324
0.115 357.266 59.1387
0.325 357.37 59.3573
0.114 357.586 58.8297
0.103 356.932 58.8461
0.271 356.833 59.1111
0.219 356.939 59.15
0.01 357.281 58.7048
0.074 356.989 58.8768
0.359 356.711 59.062
0.101 357.237 58.4825
0.197 357.015 59.1765
0.01 357.199 58.8861
0.023 357.143 58.9075
0.067 357.301 58.5462
0.007 357.172 58.8303
0.362 357.85 58.838
0.2 357.601 58.5234
0.113 357.07 58.5159
0.051 357.031 58.8556
0.208 356.809 58.9175
0.382 357.285 58.1829
0.227 357.673 59.0189
0.217 356.986 59.184
0.01 357.32 58.729
0.046 357.371 58.6228
0.262 356.781 58.5949
0.116 357.008 58.56
0.25 356.884 59.1402
0.106 356.926 58.827
0.149 357.559 58.5688
0.029 357.406 58.8689
0.26 357.049 59.2687
0.26 356.924 58.408
0.084 357.477 58.9797
0.137 356.988 58.5388
0.23 357.647 58.5304
0.395 357.478 59.3856
0.227 357.726 58.7899
0.296 357.782 58.6877
0.26 357.045 59.267
0.169 357.281 59.21
0.306 356.697 58.804
0.249 357.217 58.3021
0.284 357.139 58.2788
0.129 357.604 58.7378
0.289 357.177 58.2674
0.253 357.303 59.3002
0.333 356.972 59.3057
0.327 357.024 59.3252
0.03 357.402 58.8829
0.069 357.047 58.9672
0.002 357.277 58.8357
0.151 357.499 58.5014
0.398 357.852 58.9889
0.023 357.375 58.8855
0.357 357.83 58.943
0.337 357.823 58.8938
0.108 357.398 58.5064
0.33 356.676 58.7799
0.053 357.245 58.5698
0.143 356.974 59.0582
0.093 357.025 58.5947
0.098 357.254 58.487
0.374 357.676 59.239
0.184 357.532 58.4768
0.376 357.002 59.3609
0.004 357.214 58.8519
0.135 357.028 59.093
0.043 357.125 58.9651
0.291 357.528 58.3379
0.161 356.926 59.0364
0.264 356.902 59.1779
0.123 357.498 58.5523
0.208 357.025 59.1968
0.225 356.973 59.1851
0.302 356.887 58.387
0.382 357.047 59.3836
0.146 357.457 58.4785
0.269 357.272 58.2818
0.342 357.789 59.0273
0.054 357.09 58.9689
0.122 357.251 59.1493
0.382 357.773 59.1294
0.177 356.866 58.9708
0.083 357.117 59.0555
0.291 357.779 58.6942
0.268 357.649 58.47
0.088 357.003 58.636
0.001 357.282 58.8008
0.212 356.791 58.7624
0.17 357.488 58.4632
0.392 357.252 59.4261
0.145 357.23 59.1803
0.157 356.854 58.8194
0.13 357.583 58.9373
0.061 357.005 58.8311
0.028 357.341 58.9406
0.187 357.121 58.3872
0.047 357.418 58.9369
0.114 357.425 59.0885
0.334 356.693 58.6457
0.088 357.537 58.7234
0.258 357.561 59.2014
0.306 357.208 58.2484
0.299 357.749 59.0228
0.13 357.268 58.4399
0.189 357.619 59.0301
0.289 357.703 58.5104
0.092 357.52 58.9383
0.142 357.468 58.4927
0.111 357.529 58.6176
0.076 357.457 58.6174
0.023 357.148 58.6881
0.216 357.688 58.9551
0.344 357.83 58.8846
0.092 357.166 58.5087
0.217 357.704 58.696
0.136 357.605 58.9002
0.232 356.823 58.5774
0.148 356.93 58.587
0.063 357.318 58.5584
0.306 357.122 58.2618
0.239 356.957 58.4087
0.094 357.548 58.8739
0.305 356.699 58.8369
0.005 357.321 58.8014
0.226 357.678 58.5937
0.197 357.631 58.5723
0.124 357.601 58.7693
0.049 357.445 58.6948
0.047 357.109 58.965
0.25 357.654 59.0949
0.042 357.103 58.6569
0.296 357.78 58.6792
0.05 357.47 58.7624
0.18 357.167 59.2161
0.263 357.475 59.2609
0.187 357.616 59.0307
0.261 357.208 59.3092
0.026 357.271 58.9599
0.245 357.745 58.7867
